TUCASEID	WEIGHT
20170806172219	4593.0
20170807170612	4127.0
20170807170975	5617.0
20170807171194	5617.0
20170807171260	5290.0
20170807171343	4580.0
20170807171551	4580.0
20170807171775	5617.0
20170807171902	5617.0
20170807172196	5290.0
20170807172200	4287.0
20170807172224	4593.0
20170807172379	4287.0
20170808171046	5978.0
20170808171095	19495.0
20170908170581	5617.0
20170908170625	5290.0
20170908170886	5207.0
20170908171269	5617.0
20170908171491	4127.0
20170908171611	5188.0
20170908171621	4449.0
20170908172115	5727.0
20170909170950	5441.0
20170909172341	5441.0
20171008170575	28096.0
20171008171037	5519.0
20171008171606	4580.0
20171008171949	26080.0
20171009170518	5290.0
20171009170632	4593.0
20171009171037	4127.0
20171009171452	5439.0
20171009171552	4580.0
20171009171553	5617.0
20171009171600	5617.0
20171009171650	4790.0
20171009172125	6053.0
20171009172151	7825.0
20171009172166	4470.0
20171009172282	5290.0
20171009172451	4790.0
20171010170701	4449.0
20171010171781	4790.0
20171109171506	4449.0
20171109171565	6387.0
20171109172232	5290.0
20171110170092	5888.0
20171110170648	4449.0
20171110170945	5188.0
20171110171320	5015.0
20171110171886	4790.0
20171110171979	5439.0
20171110172024	4593.0
20171110172101	4127.0
20171110172374	4709.0
20171110172433	5617.0
20171110172517	5439.0
20171110172538	10435.0
20171111171305	4470.0
20171210171762	5207.0
20171211170584	5727.0
20171211170827	4408.0
20171211170913	5617.0
20171211171452	5922.0
20171211171497	5727.0
20171211171552	5617.0
20171211171683	5617.0
20171211171817	4127.0
20171211171868	4593.0
20171211172148	4580.0
20171211172210	5290.0
20171211172390	5727.0
20171211172456	5727.0
20171211172466	5617.0
20171211172524	5290.0
20171212171086	4790.0
20171212172005	4593.0
20180101180553	5727.0
20180101181092	5727.0
20180101182000	4127.0
20180111170653	5290.0
20180111170738	4470.0
20180111171288	5727.0
20180111171476	4127.0
20180111172401	5441.0
20180111172485	5519.0
20180112170098	5617.0
20180112170777	4449.0
20180112170870	17146.0
20180112170928	4127.0
20180112170945	5290.0
20180112171288	4580.0
20180112171350	5617.0
20180112171551	4709.0
20180112171637	4790.0
20180112171795	4470.0
20180112171952	6186.0
20180112172063	4790.0
20180112172138	4580.0
20180112172259	4790.0
20180112172325	5290.0
20180112172433	5727.0
20180112172519	5519.0
20180201180029	4580.0
20180201180649	4790.0
20180201180875	4287.0
20180201180890	5617.0
20180201180976	4790.0
20180201181160	4580.0
20180201181617	4790.0
20180201181884	5727.0
20180201181912	6387.0
20180201182367	5290.0
20180201182375	5441.0
20180201182397	4790.0
20180212170888	5617.0
20180212170949	4580.0
20180212172261	5617.0
20180212172265	5727.0
20180302180541	5727.0
20180302180791	6943.0
20180302180795	4790.0
20180302181039	4127.0
20180302181041	5188.0
20180302181046	5617.0
20180302181162	4127.0
20180302181185	5519.0
20180302181261	5290.0
20180302181416	5888.0
20180302181489	5290.0
20180302181509	4470.0
20180302181997	5617.0
20180302182440	5617.0
20180303182431	5188.0
20180402180879	4470.0
20180402181450	4593.0
20180402182146	5617.0
20180402182242	5727.0
20180403180126	6415.0
20180403180651	5290.0
20180403180992	4287.0
20180403181099	4790.0
20180403181212	6387.0
20180403181216	5290.0
20180403181267	7825.0
20180403181554	4470.0
20180403182220	4790.0
20180403182291	5439.0
20180403182319	5290.0
20180403182417	5290.0
20180403182446	4470.0
20180403182549	7825.0
20180404180870	7825.0
20180404182244	4790.0
20180404182368	6387.0
